Doors.Openning.StartPoint.Attribute:X,Doors.Openning.StartPoint.Attribute:Y,Doors.Openning.StartPoint.Attribute:Z,Doors.Openning.EndPoint.Attribute:X,Doors.Openning.EndPoint.Attribute:Y,Doors.Openning.EndPoint.Attribute:Z,Doors.Openning.Attribute:ID,Doors.Openning.Attribute:SillLength,Doors.Openning.Attribute:SillHeight,Attribute:ID,Attribute:ElementType,Attribute:Level,Attribute:Name,Attribute:Length,Attribute:Height,EP_X,SP_X
14.0104,0,0,17.0104,6.875,0,950889,2.468968717,0,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916667,9.09375,17.0104,14.0104
13,0,0,15.66666667,6.875,0,840826,13.00006056,0,840773,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M3,19.9375,9.09375,,
6.707861802,0,0,9.374528468,6.875,0,840784,6.707969752,0,840776,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M20,12.99952847,9.09375,,
0.333336205,0,2.47E-32,5.333336205,6.875,2.47E-32,850626,0.33364256,2.47E-32,840776,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M20,12.99952847,9.09375,,
0.625,0,0,3.291666667,6.875,0,840781,0.625443212,0,840777,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M15,5.916195147,9.09375,,
,,,,,,,,,840778,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M8,2.5625,9.09375,,
,,,,,,,,,840779,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M9,2.416666667,9.09375,,
,,,,,,,,,840780,"STAR - 4"" Furring Wall ON SIDE",01-MAIN FLOOR PLAN,M14,2.270833333,9.09375,,
,,,,,,,,,840783,"STAR - Interior 6"" Plumbing Wall - Furring",01-MAIN FLOOR PLAN,M18,3.208333333,9.09375,,
,,,,,,,,,840785,"STAR - Interior 6"" Furring Wall",01-MAIN FLOOR PLAN,M11,2.5625,9.09375,,
,,,,,,,,,840786,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M7,6.477284757,9.09375,,
,,,,,,,,,840787,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M4,32.02083333,9.09375,,
,,,,,,,,,840788,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M2,32.47916667,9.09375,,
,,,,,,,,,840789,"STAR - 4"" Furring Wall",01-MAIN FLOOR PLAN,M13,2.541666667,9.09375,,
0.540076047,0,0,2.040076047,6.875,0,840782,0.540748743,0,840790,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M10,2.25,9.09375,,
,,,,,,,,,840791,"STAR - 4"" Furring Wall",01-MAIN FLOOR PLAN,M12,2.833333333,9.09375,,
,,,,,,,,,840807,"STAR - INT. 4"" STUD WALL",01-MAIN FLOOR PLAN,M21,3.208333333,9.09375,,
,,,,,,,,,840817,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M23,2.334617555,9.09375,,
0.624946647,0,0,2.124946647,6.875,0,840820,0.625577839,0,840818,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M24,2.458333333,9.09375,,
,,,,,,,,,840819,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M25,2.042950888,9.09375,,
,,,,,,,,,840821,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M5,2.208333333,9.09375,,
0.470649772,0,0,2.470649772,6.875,0,840823,0.471239906,0,840822,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M6,2.82421875,9.09375,,
,,,,,,,,,840829,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M22,2.458333333,9.09375,,
0.5,0,0,2.5,6.875,0,840862,0.500578592,0,840861,"STAR - INT. 4"" STUD WALL",01-MAIN FLOOR PLAN,M19,2.958333333,9.09375,,
,,,,,,,,,840863,"STAR - 4"" Furring Wall",01-MAIN FLOOR PLAN,M17,3.541666667,9.09375,,
,,,,,,,,,840864,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M16,2.625,9.09375,,
0.5417,0,0,4.5417,6.875,0,848966,1.184022845,0,848955,"STAR - Interior 4"" Stud Wall",02-UPPER FLOOR PLAN,U19,5.725477364,8.296061509,4.5417,0.5417
,,,,,,,,,848957,"STAR - Interior 4"" Stud Wall",02-UPPER FLOOR PLAN,U17,5.082076175,8.296061509,,
2.325230863,0,0,4.658564197,6.875,0,848968,2.325479446,0,848959,"STAR - Interior 4"" Stud Wall",02-UPPER FLOOR PLAN,U18,5.080901189,8.296061509,,
,,,,,,,,,848960,"STAR - INT. 4"" FURRING WALL",02-UPPER FLOOR PLAN,U28,0.974420325,8.296061509,,
0.334960937,0,1.78E-15,3.001627604,6.875,1.78E-15,848967,0.335481182,0,848961,"STAR - Interior 4"" Stud Wall",02-UPPER FLOOR PLAN,U25,3.393735076,8.296061509,,
,,,,,,,,,848962,"STAR - Interior 4"" Stud Wall",02-UPPER FLOOR PLAN,U21,5.813757158,8.296061509,,
,,,,,,,,,848963,"STAR - Interior 4"" Stud Wall",02-UPPER FLOOR PLAN,U23,2.094137877,8.296061509,,
0.260804544,0,1.78E-15,1.760804544,6.875,1.78E-15,848969,0.261662956,0,848964,"STAR - Interior 4"" Stud Wall",02-UPPER FLOOR PLAN,U24,2.094137877,8.296061509,,
,,,,,,,,,848965,"STAR - Interior 6"" Plumbing Wall",02-UPPER FLOOR PLAN,U16,8.248742842,8.296061509,,
0.418,0,1.78E-15,3.0846,6.875,1.78E-15,848971,0.333809174,0,848970,"STAR - Interior 4"" Stud Wall",02-UPPER FLOOR PLAN,U15,3.417923825,8.296061509,3.0846,0.418
,,,,,,,,,848972,"STAR - EXT. 6"" WALL - VINYL CLADDING",02-UPPER FLOOR PLAN,U2,19.47916667,8.296061509,,
,,,,,,,,,848974,"STAR - 4"" Furring Wall",02-UPPER FLOOR PLAN,U9,6.220649772,8.296061509,,
,,,,,,,,,848977,"STAR - EXT. 6"" WALL - VINYL CLADDING",02-UPPER FLOOR PLAN,U1,32.47916667,8.296061509,,
,,,,,,,,,848978,"STAR - EXT. 6"" WALL - VINYL CLADDING",02-UPPER FLOOR PLAN,U3,32.70833333,8.296061509,,
,,,,,,,,,848979,"STAR - EXT. 6"" WALL - SHAKES",02-UPPER FLOOR PLAN,U4,8,8.296061509,,
0.333333333,0,1.78E-15,3,6.875,1.78E-15,848982,0.333854085,0,848983,"STAR - Interior 4"" Stud Wall",02-UPPER FLOOR PLAN,U12,15.05268102,8.296061509,,
10.18978765,0,3.55E-15,12.52312098,6.875,3.55E-15,911777,10.18986409,8.88E-16,848983,"STAR - Interior 4"" Stud Wall",02-UPPER FLOOR PLAN,U12,15.05268102,8.296061509,,
5.646941333,0,1.78E-15,8.813608,6.875,1.78E-15,848987,5.64706139,0,848986,"STAR - Interior 4"" Stud Wall",02-UPPER FLOOR PLAN,U22,9.146896407,8.296061509,,
0.334396407,0,1.78E-15,3.001063074,6.875,1.78E-15,848988,0.334916828,0,848986,"STAR - Interior 4"" Stud Wall",02-UPPER FLOOR PLAN,U22,9.146896407,8.296061509,,
,,,,,,,,,848990,"STAR - Interior 4"" Stud Wall",02-UPPER FLOOR PLAN,U20,10.58128469,8.296061509,,
,,,,,,,,,848993,"STAR - Interior 4"" Stud Wall",02-UPPER FLOOR PLAN,U27,2.3125,8.296061509,,
,,,,,,,,,848995,"STAR - Interior 4"" Stud Wall",02-UPPER FLOOR PLAN,U26,3.483009072,8.296061509,,
,,,,,,,,,848998,"STAR - EXT. 6"" WALL - VINYL CLADDING",02-UPPER FLOOR PLAN,U8,2.197916667,8.296061509,,
,,,,,,,,,849096,"STAR - Interior 4"" Stud Wall",02-UPPER FLOOR PLAN,U14,3.666666667,8.296061509,,
,,,,,,,,,849097,"STAR - Interior 4"" Stud Wall",02-UPPER FLOOR PLAN,U11,8.873697917,8.296061509,,
,,,,,,,,,849098,"STAR - Interior 4"" Stud Wall",02-UPPER FLOOR PLAN,U10,3.604166667,8.296061509,,
,,,,,,,,,849099,"STAR - Interior 4"" Stud Wall",02-UPPER FLOOR PLAN,U13,3.083333333,8.296061509,,
,,,,,,,,,1002918,"STAR - EXT. 6"" WALL - SHAKES",02-UPPER FLOOR PLAN,U6,8.052083333,8.296061509,,
,,,,,,,,,1007082,"STAR - EXT. 6"" WALL - SHAKES",06-T.O. SECOND FLOOR JOISTS,U5,1.041666667,8.355957342,,
,,,,,,,,,1007266,"STAR - EXT. 6"" WALL - SHAKES",06-T.O. SECOND FLOOR JOISTS,U7,1.041666667,8.355957342,,
