Studs.Stud.InsertLocation.Attribute:X,Studs.Stud.InsertLocation.Attribute:Y,Studs.Stud.InsertLocation.Attribute:Z,Studs.Stud.Attribute:Function,Studs.Stud.Attribute:ID,Studs.Stud.Attribute:Type,Studs.Stud.Attribute:IsTop,Studs.Stud.Attribute:IsBottom,Plates.Plate.StartPoint.Attribute:X,Plates.Plate.StartPoint.Attribute:Y,Plates.Plate.StartPoint.Attribute:Z,Plates.Plate.EndPoint.Attribute:X,Plates.Plate.EndPoint.Attribute:Y,Plates.Plate.EndPoint.Attribute:Z,Plates.Plate.Attribute:Function,Plates.Plate.Attribute:ID,Plates.Plate.Attribute:Type,Attribute:ID,Attribute:ElementType,Attribute:Level,Attribute:Name,Attribute:Length,Studs_Location_X
0.0,2.098043960785371e-13,0.125,OC,984868,L2X6,True,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,0.0
0.2917,0.16666666666687247,0.125,SJoin,984908,L2X6,True,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,0.2917
1.2083,1.9599137128049434e-13,0.125,OC,984902,L2X6,True,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,1.2083
2.5417,1.8148445709205893e-13,0.125,OC,984900,L2X6,True,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,2.5417
2.7396,1.803857988906056e-13,0.125,King,984842,L2X6,True,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,2.7396
2.8646,1.796919095002149e-13,0.125,Jack,984838,L2X6,True,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,2.8646
2.9896,1.7899802010982418e-13,0.125,Cripple,984850,L2X6,False,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,2.9896
3.875,1.669775429036236e-13,0.125,Cripple,984896,L2X6,False,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,3.875
3.875,1.669775429036236e-13,8.23958333333333,Cripple,984898,L2X6,True,False,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,3.875
5.2083,1.5247062871518818e-13,0.125,Cripple,984892,L2X6,False,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,5.2083
5.2083,1.5247062871518818e-13,8.23958333333333,Cripple,984894,L2X6,True,False,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,5.2083
6.5417,1.3796371452675284e-13,8.23958333333333,Cripple,984890,L2X6,True,False,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,6.5417
6.5417,1.3796371452675284e-13,0.125,Cripple,984888,L2X6,False,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,6.5417
7.875,1.2345680033831746e-13,8.23958333333333,Cripple,984886,L2X6,True,False,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,7.875
7.875,1.2345680033831746e-13,0.125,Cripple,984884,L2X6,False,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,7.875
8.8854,1.178478610993245e-13,0.125,Cripple,984848,L2X6,False,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,8.8854
9.0104,1.1715397170893378e-13,0.125,Jack,984836,L2X6,True,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,9.0104
9.1354,1.1646008231854306e-13,0.125,King,984840,L2X6,True,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,9.1354
10.5417,1.0865382667664867e-13,0.125,OC,984882,L2X6,True,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,10.5417
11.875,8.704148513061227e-14,0.125,OC,984880,L2X6,True,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,11.875
13.2083,7.253457094217689e-14,0.125,OC,984878,L2X6,True,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,13.2083
14.1354,6.028279727251136e-14,0.125,King,984864,L2X6,True,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,14.1354
14.2604,5.958890788212064e-14,0.125,Jack,984860,L2X6,True,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,14.2604
14.5417,5.802765675374152e-14,7.770833333333335,Cripple,984876,L2X6,True,False,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,14.5417
15.875,5.062616992290715e-14,7.770833333333335,Cripple,984874,L2X6,True,False,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,15.875
17.2083,2.901382837687076e-14,7.770833333333335,Cripple,984872,L2X6,True,False,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,17.2083
17.5521,2.000020519569521e-14,0.125,Jack,984858,L2X6,True,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,17.5521
17.6771,1.930631580530449e-14,0.125,King,984862,L2X6,True,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,17.6771
18.5417,2.1612341546036386e-14,0.125,OC,984870,L2X6,True,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,18.5417
19.5208,0.16666666666666627,0.125,SJoin,984906,L2X6,True,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,19.5208
19.8125,3.469446951953695e-16,0.125,OC,984866,L2X6,True,True,-10.927083333333108,1.1750091640412912e-13,1.739583333333333,-16.947916666666437,1.793449648050196e-13,1.739583333333333,BottomPlate,984846,L2X6,840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916666666633,19.8125
0.0625,3.0039186858605163e-14,0.125,OC,995501,L2X4,True,True,-3.5527136788008536e-15,3.0198066269804214e-14,0.0625,0.4567427136717264,3.0198627883137206e-14,0.0625,BottomPlate,995487,L2X4,840790,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M10,2.249999999999986,
