Attribute:ID,Attribute:ElementType,Attribute:Level,Attribute:Name,Attribute:Length,Attribute:Height
840772,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M1,19.47916667,9.09375
840773,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M3,19.9375,9.09375
840776,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M20,12.99952847,9.09375
840777,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M15,5.916195147,9.09375
840778,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M8,2.5625,9.09375
840779,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M9,2.416666667,9.09375
840780,"STAR - 4"" Furring Wall ON SIDE",01-MAIN FLOOR PLAN,M14,2.270833333,9.09375
840783,"STAR - Interior 6"" Plumbing Wall - Furring",01-MAIN FLOOR PLAN,M18,3.208333333,9.09375
840785,"STAR - Interior 6"" Furring Wall",01-MAIN FLOOR PLAN,M11,2.5625,9.09375
840786,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M7,6.477284757,9.09375
840787,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M4,32.02083333,9.09375
840788,"STAR - EXT. 6"" WALL - VINYL CLADDING",01-MAIN FLOOR PLAN,M2,32.47916667,9.09375
840789,"STAR - 4"" Furring Wall",01-MAIN FLOOR PLAN,M13,2.541666667,9.09375
840790,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M10,2.25,9.09375
840791,"STAR - 4"" Furring Wall",01-MAIN FLOOR PLAN,M12,2.833333333,9.09375
840807,"STAR - INT. 4"" STUD WALL",01-MAIN FLOOR PLAN,M21,3.208333333,9.09375
840817,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M23,2.334617555,9.09375
840818,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M24,2.458333333,9.09375
840819,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M25,2.042950888,9.09375
840821,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M5,2.208333333,9.09375
840822,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M6,2.82421875,9.09375
840829,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M22,2.458333333,9.09375
840861,"STAR - INT. 4"" STUD WALL",01-MAIN FLOOR PLAN,M19,2.958333333,9.09375
840863,"STAR - 4"" Furring Wall",01-MAIN FLOOR PLAN,M17,3.541666667,9.09375
840864,"STAR - Interior 4"" Stud Wall",01-MAIN FLOOR PLAN,M16,2.625,9.09375
